name,firm,cik,status
140 Summer Partners,140 Summer Partners,0001820788,resolved
59 North Capital Management,59 North Capital Management,0001805589,resolved
ABRAMS BISON INVESTMENTS,ABRAMS BISON INVESTMENTS,0001317588,resolved
ACR Alpine Capital Research,ACR Alpine Capital Research,0001508822,resolved
AEW CAPITAL MANAGEMENT L P,AEW CAPITAL MANAGEMENT L P,0001046187,resolved
AKO CAPITAL,AKO CAPITAL,0001376879,resolved
ALTRINSIC GLOBAL ADVISORS,ALTRINSIC GLOBAL ADVISORS,0001167388,resolved
ARES MANAGEMENT,ARES MANAGEMENT,0001259313,resolved
ATLAS Infrastructure Partners (UK),ATLAS Infrastructure Partners (UK),0001924953,resolved
Adelante Capital Management,Adelante Capital Management,0001067926,resolved
Advent International,Advent International,0001034196,resolved
Akre Capital Management,Akre Capital Management,0001112520,resolved
Al Gore,Generation Investment Management,0001375534,resolved
Alan Fournier,Pennant Investors,0001759176,resolved
Alaska Permanent Capital Management,Alaska Permanent Capital Management,0001426771,resolved
Alphinity Investment Management Pty,Alphinity Investment Management Pty,0001731012,resolved
Altimeter Capital Management,Altimeter Capital Management,0001541617,resolved
AltraVue Capital,AltraVue Capital,0001740837,resolved
Alua Capital Management,Alua Capital Management,0001827442,resolved
Andreas Halvorsen,Viking Global Investors,0001103804,resolved
Angeles Investment Advisors,Angeles Investment Advisors,0001535695,resolved
Anomaly Capital Management,Anomaly Capital Management,0001817534,resolved
Aquamarine Financial (Cayman),Aquamarine Financial (Cayman),0002104187,resolved
Arnold Van Den Berg,Century Management,0001753384,resolved
Aspex Management (HK),Aspex Management (HK),0001768375,resolved
Atalan Capital Partners,Atalan Capital Partners,0001662906,resolved
Atlas FRM,Atlas FRM,0001879898,resolved
Avala Global,Avala Global,0001948899,resolved
Avantyr Capital Partners,Avantyr Capital Partners,0002087378,resolved
Avenir Tech,Avenir Tech,0002029708,resolved
Avoro Capital Advisors,Avoro Capital Advisors,0001633313,resolved
Azora Capital,Azora Capital,0001700272,resolved
Azvalor Blue Chips FI,Azvalor Asset Management,,no_13f
Azvalor Iberia FI,Azvalor Asset Management,,no_13f
Azvalor Internacional FI,Azvalor Asset Management,,no_13f
Azvalor Managers FI,Azvalor Asset Management,,no_13f
BLACKHILL CAPITAL INC,BLACKHILL CAPITAL INC,0000872162,resolved
BLS CAPITAL FONDSMAEGLERSELSKAB A/S,BLS CAPITAL FONDSMAEGLERSELSKAB A/S,0001610946,resolved
BMO Canadian Small Cap Equity,BMO Asset Management,0001218806,resolved
BROADWOOD CAPITAL INC,BROADWOOD CAPITAL INC,0001278387,resolved
BROWNING WEST,BROWNING WEST,0001825564,resolved
BRUNI J V & CO /CO,BRUNI J V & CO /CO,0001078841,resolved
BSN Capital Partners,BSN Capital Partners,0001911876,resolved
BVF INC/IL,BVF INC/IL,0001056807,resolved
Baillie Gifford,Baillie Gifford,0001088875,resolved
Bain Capital Investors,Bain Capital Investors,0001040508,resolved
Bain Capital Life Sciences Investors,Bain Capital Life Sciences Investors,0001703031,resolved
"Bares Capital Management, Inc.","Bares Capital Management, Inc.",0001340807,resolved
Barrow Hanley Mewhinney & Strauss,Barrow Hanley Mewhinney & Strauss,0000313028,resolved
Bernard Horn,Polaris Global Value Fund,0001316926,resolved
Bestinfond,Bestinver,,no_13f
Bill Ackman,Pershing Square Capital Management,0001336528,resolved
Bill Gates,Bill & Melinda Gates Foundation Trust,0001166559,resolved
Bill Miller,Miller Value Partners,0001135778,resolved
Bill Nygren,Harris Associates (Oakmark),,no_13f
Black Creek Investment Management Inc.,Black Creek Investment Management Inc.,0001528593,resolved
BlackBarn Capital Partners,BlackBarn Capital Partners,0002010204,resolved
BloombergSen Inc.,BloombergSen Inc.,0001484047,resolved
Blue Whale Capital,Blue Whale Capital,0001801547,resolved
BlueSpruce Investments,BlueSpruce Investments,0001600285,resolved
Bornite Capital Management,Bornite Capital Management,0001800641,resolved
Bowie Capital Management,Bowie Capital Management,0001691982,resolved
Bracebridge Capital,Bracebridge Capital,0001426486,resolved
Brandes Investment Partners,Brandes Investment Partners,0001015079,resolved
Bristol Gate Capital Partners Inc.,Bristol Gate Capital Partners Inc.,0001650142,resolved
Bruce Berkowitz,Fairholme Capital Management,0001056831,resolved
CADIAN CAPITAL MANAGEMENT,CADIAN CAPITAL MANAGEMENT,0001423686,resolved
CANTILLON CAPITAL MANAGEMENT,CANTILLON CAPITAL MANAGEMENT,0001279936,resolved
CHAI TRUST CO,CHAI TRUST CO,0001250731,resolved
CI Select Canadian Equity Fund,CI Investments,0001163648,resolved
COMMODORE CAPITAL,COMMODORE CAPITAL,0001831942,resolved
CROSSLINK CAPITAL INC,CROSSLINK CAPITAL INC,0001104329,resolved
Caledonia (Private) Investments Pty,Caledonia (Private) Investments Pty,0001352924,resolved
Caligan Partners,Caligan Partners,0001727492,resolved
